,date,open,close,high,low,volume,code
2130,2018-10-19,517.647,549.647,554.647,514.727,76199.0,600519
2131,2018-10-22,554.647,572.647,581.667,554.647,73108.0,600519
2132,2018-10-23,568.647,521.387,568.647,514.647,123112.0,600519
2133,2018-10-24,507.757,516.637,529.647,499.647,76112.0,600519
2134,2018-10-25,499.647,498.647,502.147,488.227,75568.0,600519
2135,2018-10-26,498.647,489.747,504.647,487.627,55327.0,600519
2136,2018-10-29,428.737,428.737,428.737,428.737,49076.0,600519
2137,2018-10-30,389.647,403.647,422.647,388.667,204396.0,600519
2138,2018-10-31,406.647,428.547,434.647,401.647,96884.0,600519
2139,2018-11-01,434.647,442.647,465.147,430.897,98106.0,600519
2140,2018-11-02,464.647,479.547,479.647,451.887,89156.0,600519
2141,2018-11-05,472.647,455.447,472.647,451.417,75517.0,600519
2142,2018-11-06,453.647,445.647,453.807,437.657,45566.0,600519
2143,2018-11-07,448.647,446.047,454.597,441.657,38107.0,600519
2144,2018-11-08,453.647,449.987,456.647,447.647,33763.0,600519
2145,2018-11-09,446.867,441.647,448.647,441.647,24336.0,600519
2146,2018-11-12,432.647,431.647,433.847,416.447,67824.0,600519
2147,2018-11-13,425.767,449.647,449.647,422.647,66429.0,600519
2148,2018-11-14,449.607,434.747,449.607,432.197,41766.0,600519
2149,2018-11-15,438.447,439.347,444.447,435.147,30833.0,600519
2150,2018-11-16,440.647,439.647,445.647,437.677,28938.0,600519
2151,2018-11-19,439.947,448.667,451.647,438.757,36179.0,600519
2152,2018-11-20,444.647,441.247,447.647,439.647,26943.0,600519
2153,2018-11-21,433.647,444.347,448.547,433.327,27107.0,600519
2154,2018-11-22,444.797,444.147,446.977,437.647,21213.0,600519
2155,2018-11-23,443.647,436.547,446.947,436.547,20126.0,600519
2156,2018-11-26,437.647,431.757,439.847,431.647,19120.0,600519
2157,2018-11-27,431.647,427.747,434.637,426.147,20233.0,600519
2158,2018-11-28,430.497,436.647,438.837,425.147,27737.0,600519
2159,2018-11-29,445.677,431.247,449.447,428.657,45069.0,600519
2160,2018-11-30,436.647,444.647,448.537,432.647,49010.0,600519
2161,2018-12-03,468.647,480.847,484.647,464.417,83414.0,600519
2162,2018-12-04,482.637,481.877,483.907,474.647,31473.0,600519
2163,2018-12-05,477.147,489.747,496.147,474.647,41588.0,600519
2164,2018-12-06,479.647,471.447,485.627,470.007,37758.0,600519
2165,2018-12-07,475.247,466.647,478.507,464.347,26841.0,600519
2166,2018-12-10,455.647,456.877,467.147,453.827,24640.0,600519
2167,2018-12-11,456.647,462.637,466.197,456.647,16316.0,600519
2168,2018-12-12,468.437,468.647,468.847,462.447,19921.0,600519
2169,2018-12-13,469.647,481.397,486.527,469.247,40399.0,600519
2170,2018-12-14,477.657,472.607,479.447,471.647,24554.0,600519
2171,2018-12-17,472.217,470.167,475.617,464.657,24895.0,600519
2172,2018-12-18,465.527,470.587,471.187,464.647,19222.0,600519
2173,2018-12-19,468.647,457.447,470.637,455.677,25715.0,600519
2174,2018-12-20,455.867,454.147,461.147,448.537,26940.0,600519
2175,2018-12-21,450.647,447.057,453.097,441.857,30640.0,600519
2176,2018-12-24,443.147,447.647,450.557,437.647,19109.0,600519
2177,2018-12-25,441.867,445.437,447.147,433.257,26592.0,600519
2178,2018-12-26,443.457,439.727,448.047,437.647,17866.0,600519
2179,2018-12-27,449.647,442.647,451.497,441.867,29493.0,600519
2180,2018-12-28,442.947,469.657,476.047,439.647,63678.0,600519
2181,2019-01-02,489.627,478.627,491.647,474.657,62286.0,600519
2182,2019-01-03,479.617,469.647,481.307,465.447,30977.0,600519
2183,2019-01-04,466.927,481.647,487.317,461.667,37683.0,600519
2184,2019-01-07,487.647,485.137,491.647,481.867,34750.0,600519
2185,2019-01-08,485.147,484.437,491.647,479.927,28838.0,600519
2186,2019-01-09,489.637,495.767,505.807,488.687,49892.0,600519
2187,2019-01-10,496.777,498.417,504.527,489.897,29043.0,600519
2188,2019-01-11,504.647,515.527,516.647,498.397,38884.0,600519
2189,2019-01-14,512.647,504.247,515.537,501.197,25648.0,600519
2190,2019-01-15,507.507,539.627,541.147,504.647,55764.0,600519
2191,2019-01-16,537.647,540.747,545.297,533.247,42083.0,600519
2192,2019-01-17,542.647,538.897,549.347,535.447,30284.0,600519
2193,2019-01-18,544.647,563.257,569.847,541.147,68609.0,600519
2194,2019-01-21,569.647,566.627,578.527,561.527,47051.0,600519
